project_sample_id,project_col_id,true_a1,true_b1,true_a2,true_b2
003_jetti_project_file_amcf_head,Control,0.0,0.12401280680354348,22.204946127182616,0.004456130066394957
006_jetti_project_file_pvo,Control,1.9084555322734786e-06,0.19017381987777549,14.860765404724418,0.001463610968041892
007_jetti_project_file_leopard_lep,Control,13.347809007421823,0.008817668470175557,13.347809007421823,0.008817668470175557
007b_jetti_project_file_tiger_tgr,Control,25.576467525238186,0.03073546195671228,47.532,0.0004969898057778897
011_jetti_project_file_rm,Control,10.263567956574066,0.008651873336116698,0.5570345844395194,0.0014721589874235998
011_jetti_project_file_rm_crushed,Control,7.334681241188494,0.03944809723310706,26.182,0.0008323341720097446
014_jetti_project_file_bag,Control,19.531257317902558,0.030137207773466578,9.658416341458146,0.006564439
014_jetti_project_file_kmb,Control,0.30765460432290115,0.088294652613949,32.09119610087626,0.009670753000872287
015_jetti_project_file_amcf_6in,Control,17.511999999999773,0.0003290030936466421,17.511999999999972,0.0003288503732157102
015_jetti_project_file_amcf_8in,Control,15.444999999999999,0.0002580107397009811,15.444999999999993,0.00025800620318022267
017_jetti_project_file_ea_mill_feed_combined,Control,22.646654088912705,0.006405165273493141,22.646654088912705,0.006405159945903438
020_jetti_project_file_hypogene_supergene_hypogene_master_composite,Control,46.053145553480945,0.009001,0.460950181074476,1.0000000000002755e-05
022_jetti_project_file_stingray_1,Control,7.2912350224551545,0.0052081065782506215,7.291240089022594,0.005208104781850119
024_jetti_project_file_024cv_cpy,Control,0.0,0.1983332803336722,26.349300846437778,0.007702054546616927
026_jetti_project_file_sample_1_primary_sulfide,Control,0.2179197630910301,0.013979985785797329,23.404999277318183,0.006441396421028414
026_jetti_project_file_sample_2_carrizalillo,Control,12.344796756853022,0.008526241867326197,12.344796757623573,0.008526241546423495
026_jetti_project_file_sample_3_secondary_sulfide,Control,19.86096314031889,0.09226273414454503,25.42776314031889,0.008773616287339844
jetti_file_elephant_ii_pq,Control,10.776331128071673,0.012136832372532217,14.883112568646087,0.00459738853915547
jetti_file_elephant_ii_ugm2,Control,36.25310558824672,0.007681562142121902,0.3316374240601215,0.00612759620992734
jetti_file_elephant_ii_ugm2_coarse,Control,32.742824711301985,0.009001,0.0,1.0000000000002755e-05
jetti_project_file_elephant_scl_sample_escondida,Control,12.854195781225023,0.008742203816982052,12.854195781225023,0.008742203816982052
jetti_project_file_elephant_site,Control,15.352274468486499,0.13291207230367721,15.352274468486499,0.008790276195259634
jetti_project_file_leopard_scl_sample_los_bronces,Control,17.970962083920064,0.009152356049510294,17.970963619265415,0.0016000413690809554
jetti_project_file_toquepala_scl_sample_fresca,Control,8.11370891936709,1.64253460248266,23.04470151671918,0.0051695459723134505
jetti_project_file_zaldivar_scl_sample_zaldivar,Control,12.361469627570818,0.00887826929042739,12.361469627570827,0.00887826929042739
